location,address,direction,images,facilities,coordinates,changing_station,power_points,sink,water_dispenser
The Shoppes at Marina Bay Sands,"10 Bayfront Avenue, Singapore 018956","Basement 2, Level 1 or Level 2",marina_bay_sands.jpg,"Nursing rooms with bench and diaper disposals,Baby seats","103.8596,1.2841",TRUE,TRUE,TRUE,TRUE
Suntec City,"3 Temasek Boulevard, Singapore 038983","Convention Centre (Level 1 and 2), Tower 3 (next to Toys R’ Us)",suntec_city.jpg,Nursing cubicle,"103.8578,1.2941",TRUE,FALSE,FALSE,TRUE
Takashimaya,"391 Orchard Rd, Singapore 238873",Level 4 in Children’s department,takashimaya.jpg,"Five lockable nursing rooms with changing table and armchair inside,Waiting area with TV,High chair and bottle warmer available upon request","103.8354,1.3027",TRUE,FALSE,TRUE,TRUE
Tampines Mall,"4 Tampines Central 5, Singapore 529510",Level 2 (near restrooms),tampines_mall.jpg,Two lockable nursing rooms with armchair,"103.9446,1.3528",TRUE,FALSE,TRUE,TRUE
Tampines One,"10 Tampines Central 1, Singapore 529536",Level 2 and Level 5 (near restrooms),tampines_one.jpeg,Two lockable nursing rooms with bench,"103.9446,1.3528",TRUE,FALSE,TRUE,TRUE
Tanglin Mall,"163 Tanglin Road, Singapore 247933",Level 3(near restrooms),tanglin_mall.jpg,Two lockable nursing rooms with armchair and table,"103.8239,1.3051",TRUE,TRUE,TRUE,TRUE
United Square,"101 Thomson Road, Singapore 307591",Level 1 (down the corridor from customer service counter),united_square.jpg,"Three lockable nursing rooms with comfy armchairs,Waiting area,Highchairs ","103.8436,1.3171",TRUE,TRUE,TRUE,TRUE
Thomson Plaza,301 Upper Thomson Road Singapore 574408,"Level 3, near Swensen’s",thomson_plaza.jpg,"Lockable nursing area with bench,Waiting area","103.8311,1.3545",TRUE,FALSE,TRUE,FALSE
Tiong Bahru Plaza,"302 Tiong Bahru Rd, Singapore 168732",Level 2 and Level 5,image_not_available.png,"Nursing area with bench,Waiting area on Level 5","103.8273,1.2863",TRUE,TRUE,TRUE,TRUE
Valley Point Shopping Centre,"491 River Valley Rd, Singapore 248371",Level 1,image_not_available.png,One nursing cubicle,"103.8271,1.2932",TRUE,FALSE,TRUE,TRUE
Velocity @ Novena,"238 Thomson Rd, Singapore 307683",Level 3 (near restrooms),velocity_novena.jpg,"Two lockable nursing rooms with sofa,Waiting area","103.8439,1.3199",TRUE,TRUE,TRUE,TRUE
VivoCity,"1 HarbourFront Walk, Singapore 098585","Level 1, Level 2 (one near playground, one by cinema), Level 3",vivocity.jpg,"Large nursing areas with armchair,Waiting area","103.8223,1.2645",TRUE,TRUE,TRUE,TRUE
West Coast Plaza,"154 West Coast Road #02-12, Singapore 127371",Basement 1,image_not_available.png,One lockable nursing room with bench,"103.7659,1.3036",TRUE,TRUE,TRUE,TRUE
Wheelock Place,"501 Orchard Rd, Singapore 238880","Level 1, near lifts",image_not_available.png,One lockable nursing room ,"103.8307,1.3049",TRUE,TRUE,TRUE,FALSE
Wisma Atria,"435 Orchard Rd, Singapore 238877",Level 3 inside female restroom,wisma_atria.jpg,One nursing cubicle with armchair and changing table,"103.8331,1.3039",TRUE,TRUE,TRUE,TRUE
